"TreeID","qLegalStatus","qSpecies","qAddress","SiteOrder","qSiteInfo","PlantType","qCaretaker","qCareAssistant","PlantDate","DBH","PlotSize","PermitNotes","XCoord","YCoord","Latitude","Longitude","Location"
"271446","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","100 Napoleon St","4","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595",,,,,
"271432","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","12","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271426","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","6","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271449","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","100 Napoleon St","7","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595",,,,,
"271444","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","100 Napoleon St","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595",,,,,
"271421","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","2045 Evans Ave","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271447","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","100 Napoleon St","5","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595",,,,,
"271435","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","15","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271436","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","16","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271433","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","13","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271442","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","2045 Evans Ave","22","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271429","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","9","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271434","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","14","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271443","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","100 Napoleon St","1","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595",,,,,
"271437","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","17","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271422","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","2045 Evans Ave","2","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271445","Planning Code 138.1 required","Magnolia grandiflora :: Southern Magnolia","100 Napoleon St","3","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595",,,,,
"271439","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","19","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
"271431","Planning Code 138.1 required","Acer buergeranum :: Trident Maple","2045 Evans Ave","11","Sidewalk: Curb side : Cutout","Tree","Private",,"2023 May 08 12:00:00 AM","3","3x3","Permit Number 788595","6013398.6388","2100274.16728","37.74770673916","-122.39641365684","(37.74770673915592, -122.39641365683929)"
